# Source: EPA Power Profiler crosswalk (USEPA/power-profiler GitHub, eGRID2023).
# (zip, wires utility) grain — feeds zip_supplier_candidates for non-CCA rows.
zip,state,eiaid,utility_name,subregion,predominant
00077,OR,61667,Consumers Power Inc,NWPP,TRUE
00077,OR,14354,PacifiCorp,NWPP,FALSE
00084,NC,1017,Duke Energy Progress,SRVC,TRUE
00084,NC,61921,Jones Onslow Electric Membership Corp,SRVC,FALSE
00087,FL,6452,Florida Power & Light Co,FRCC,TRUE
00087,FL,62353,Peace River Electric Coop Inc,FRCC,FALSE
00097,FL,6452,Florida Power & Light Co,FRCC,TRUE
00098,FL,6452,Florida Power & Light Co,FRCC,TRUE
00100,UT,14354,PacifiCorp,NWPP,TRUE
00116,LA,1135007,Entergy Gulf States Louisiana LLC,SRMV,TRUE
00119,LA,1087,Entergy Louisiana Inc,SRMV,TRUE
00119,LA,62990,South Louisiana Electric Coop Association,SRMV,FALSE
00120,LA,62990,South Louisiana Electric Coop Association,SRMV,TRUE
00121,LA,1087,Entergy Louisiana Inc,SRMV,TRUE
00125,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00126,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00127,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00128,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00130,ME,1091,BHE Holdings Inc [Emera Inc],NEWE,TRUE
00130,ME,1011,Emera Maine,NEWE,FALSE
00132,ME,1091,BHE Holdings Inc [Emera Inc],NEWE,TRUE
00133,ME,1091,BHE Holdings Inc [Emera Inc],NEWE,TRUE
00134,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00134,ME,1011,Emera Maine,NEWE,FALSE
00135,ME,1011,Emera Maine,NEWE,TRUE
00137,ME,1091,BHE Holdings Inc [Emera Inc],NEWE,TRUE
00137,ME,62011,Eastern Maine Electric Coop,NEWE,FALSE
00138,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00139,ME,1023,Central Maine Power Co [Iberdrola SA],NEWE,TRUE
00141,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00148,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00151,ME,62011,Eastern Maine Electric Coop,NEWE,TRUE
00152,MD,61075,Choptank Electric Coop Inc,RFCE,TRUE
00152,MD,1043,Delmarva Power & Light Co [Pepco Holdings Inc],RFCE,FALSE
00158,MA,423875,NSTAR Co [Eversource Energy],NEWE,TRUE
00160,MN,60577,Arrowhead Electric Coop Inc,MROW,TRUE
00161,MN,442424,ALLETE Inc,MROW,TRUE
00161,MN,60577,Arrowhead Electric Coop Inc,MROW,FALSE
00161,MN,61969,Lake Country Power,MROW,FALSE
00164,MN,62899,Roseau Electric Coop Inc,MROW,TRUE
00165,MN,62457,North Star Electric Coop Inc [UBS AG],MROW,TRUE
00165,MN,62899,Roseau Electric Coop Inc,MROW,FALSE
00166,MN,60621,Beltrami Electric Coop Inc,MROW,TRUE
00166,MN,62868,Red Lake Electric Coop Inc,MROW,FALSE
00166,MN,62457,North Star Electric Coop Inc [UBS AG],MROW,FALSE
00166,MN,62899,Roseau Electric Coop Inc,MROW,FALSE
00168,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00172,NH,1204,New Hampshire Electric Coop Inc,NEWE,TRUE
00173,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00174,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00176,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00177,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00179,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00180,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00181,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00182,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00183,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00184,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00185,NH,1146,Public Service Co of New Hampshire [Eversource Energy],NEWE,TRUE
00188,TX,1024,AEP Texas Central Co [American Electric Power Co Inc],ERCT,TRUE
00188,TX,60547,Magic Valley Electric Coop Inc,ERCT,FALSE
00195,WA,62849,PUD No 2 of Pacific County,NWPP,TRUE
00197,AZ,803,Arizona Public Service Co,AZNM,TRUE
00197,AZ,62683,Tohono Oodham Utility Authority,AZNM,FALSE
00198,AK,1202,Chugach Electric Association Inc,AKGD,TRUE
00198,AK,60569,Matanuska Electric Association Inc,AKGD,FALSE
00199,AZ,803,Arizona Public Service Co,AZNM,TRUE
00199,AZ,60511,Salt River Project,AZNM,FALSE
00501,NY,11171,Long Island Power Authority,NYLI,TRUE
00544,NY,11171,Long Island Power Authority,NYLI,TRUE
00601,PR,,,PRMS,TRUE
00602,PR,,,PRMS,TRUE
00603,PR,,,PRMS,TRUE
00604,PR,,,PRMS,TRUE
00605,PR,,,PRMS,TRUE
00606,PR,,,PRMS,TRUE
00610,PR,,,PRMS,TRUE
00611,PR,,,PRMS,TRUE
00612,PR,,,PRMS,TRUE
00613,PR,,,PRMS,TRUE
00614,PR,,,PRMS,TRUE
00616,PR,,,PRMS,TRUE
00617,PR,,,PRMS,TRUE
00622,PR,,,PRMS,TRUE
00623,PR,,,PRMS,TRUE
00624,PR,,,PRMS,TRUE
00627,PR,,,PRMS,TRUE
00631,PR,,,PRMS,TRUE
00636,PR,,,PRMS,TRUE
00637,PR,,,PRMS,TRUE
00638,PR,,,PRMS,TRUE
00641,PR,,,PRMS,TRUE
00646,PR,,,PRMS,TRUE
00647,PR,,,PRMS,TRUE
00650,PR,,,PRMS,TRUE
00652,PR,,,PRMS,TRUE
00653,PR,,,PRMS,TRUE
00656,PR,,,PRMS,TRUE
00659,PR,,,PRMS,TRUE
00660,PR,,,PRMS,TRUE
00662,PR,,,PRMS,TRUE
00664,PR,,,PRMS,TRUE
00667,PR,,,PRMS,TRUE
00669,PR,,,PRMS,TRUE
00670,PR,,,PRMS,TRUE
00674,PR,,,PRMS,TRUE
00676,PR,,,PRMS,TRUE
00677,PR,,,PRMS,TRUE
00678,PR,,,PRMS,TRUE
00680,PR,,,PRMS,TRUE
00681,PR,,,PRMS,TRUE
00682,PR,,,PRMS,TRUE
00683,PR,,,PRMS,TRUE
00685,PR,,,PRMS,TRUE
00687,PR,,,PRMS,TRUE
00688,PR,,,PRMS,TRUE
00690,PR,,,PRMS,TRUE
00692,PR,,,PRMS,TRUE
00693,PR,,,PRMS,TRUE
00694,PR,,,PRMS,TRUE
00698,PR,,,PRMS,TRUE
00703,PR,,,PRMS,TRUE
00704,PR,,,PRMS,TRUE
00705,PR,,,PRMS,TRUE
00707,PR,,,PRMS,TRUE
00714,PR,,,PRMS,TRUE
00715,PR,,,PRMS,TRUE
00716,PR,,,PRMS,TRUE
00717,PR,,,PRMS,TRUE
00718,PR,,,PRMS,TRUE
00719,PR,,,PRMS,TRUE
00720,PR,,,PRMS,TRUE
00721,PR,,,PRMS,TRUE
00723,PR,,,PRMS,TRUE
00725,PR,,,PRMS,TRUE
00726,PR,,,PRMS,TRUE
00727,PR,,,PRMS,TRUE
00728,PR,,,PRMS,TRUE
00729,PR,,,PRMS,TRUE
00730,PR,,,PRMS,TRUE
