# Source: CEC 2023 Power Content Labels (Power Source Disclosure program),
# parsed from the per-supplier PDFs at energy.ca.gov (annual-power-4 listing)
# by cec_labels.py. Intensity checksum: each parse must end at the 2023 CA
# utility average (373 lbs CO2e/MWh) or the label is rejected.
# basis_denominator=retail_sales: PSD intensity = portfolio emissions / annual
# retail sales, so T&D losses are already in the denominator (no gross-up).
psd_year,state,supplier_id,supplier_name,product,ghg_intensity_lb_co2e_per_mwh,basis_denominator,pct_eligible_renewable,pct_biomass,pct_geothermal,pct_small_hydro,pct_solar,pct_wind,pct_coal,pct_large_hydro,pct_natural_gas,pct_nuclear,pct_other,pct_unspecified,data_quality
2023,CA,CITY_OF_GRIDLEY_ELECTRIC_UTILITY,City of Gridley Electric Utility,Standard,349,retail_sales,19.8,0.0,5.8,2.0,12.0,0.0,0.0,41.0,39.2,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_HEALDSBURG,City of Healdsburg,Standard Rate,194,retail_sales,39.4,0.0,23.1,2.9,13.3,0.0,0.0,42.5,18.1,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_HEALDSBURG,City of Healdsburg,Green Rate,68,retail_sales,100.0,0.0,57.1,6.2,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_LOMPOC,City of Lompoc,Standard,468,retail_sales,18.7,0.0,16.1,2.5,0.1,0.0,0.0,32.9,19.0,0.0,0.0,29.4,PUBLISHED
2023,CA,CITY_OF_MORENO_VALLEY,City of Moreno Valley,Standard,719,retail_sales,23.8,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,76.2,PUBLISHED
2023,CA,CITY_OF_NEEDLES,City of Needles,Standard,597,retail_sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,0.0,0.0,63.2,PUBLISHED
2023,CA,CITY_OF_PALO_ALTO_UTILITIES,City of Palo Alto Utilities,Palo Alto Green,944,retail_sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,PUBLISHED
2023,CA,CITY_OF_PALO_ALTO_UTILITIES,City of Palo Alto Utilities,CPAU Standard Rate,46,retail_sales,36.7,1.1,0.0,1.6,33.7,0.3,0.0,58.6,0.0,0.0,0.0,4.7,PUBLISHED
2023,CA,CITY_OF_PASADENA,City of Pasadena,PWP Power Mix,835,retail_sales,35.8,8.4,1.7,0.0,9.4,16.3,23.9,3.7,11.4,8.3,0.0,16.9,PUBLISHED
2023,CA,CITY_OF_PASADENA,City of Pasadena,Green Program Mix,0,retail_sales,100.0,0.0,0.0,0.0,60.2,39.8,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_RANCHO_CUCAMONGA,City of Rancho Cucamonga,Standard,651,retail_sales,27.3,0.0,0.0,0.0,27.3,0.0,0.0,3.7,0.0,0.0,0.0,69.0,PUBLISHED
2023,CA,CITY_OF_REDDING_ELECTRIC_UTILITY,City of Redding Electric Utility,Standard,457,retail_sales,27.6,0.0,0.0,4.3,0.0,23.3,0.0,26.5,45.5,0.3,0.0,0.1,PUBLISHED
2023,CA,CITY_OF_RIVERSIDE_RIVERSIDE_PUBLIC_UTILI,"City of Riverside, Riverside Public Utilities",RPU General Power Mix,699,retail_sales,46.4,0.0,35.4,0.0,10.0,1.1,16.3,1.1,3.3,5.0,0.0,27.9,PUBLISHED
2023,CA,CITY_OF_RIVERSIDE_RIVERSIDE_PUBLIC_UTILI,"City of Riverside, Riverside Public Utilities",RPU 100% Renewable,20,retail_sales,100.0,0.0,50.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_ROSEVILLE,City of Roseville,Roseville,370,retail_sales,29.0,0.0,3.0,1.8,0.1,24.1,0.0,33.1,29.7,1.2,0.1,7.0,PUBLISHED
2023,CA,CITY_OF_ROSEVILLE,City of Roseville,Roseville Community Solar,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_SANTA_CLARA_DBA_SILICON_VALLEY_P,City of Santa Clara dba Silicon Valley Power,Residential,0,retail_sales,23.0,0.0,0.0,0.0,9.4,13.6,0.0,77.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_SANTA_CLARA_DBA_SILICON_VALLEY_P,City of Santa Clara dba Silicon Valley Power,Non-Residential,461,retail_sales,29.3,1.3,4.8,13.6,2.3,7.3,0.0,23.0,28.4,0.0,0.0,19.4,PUBLISHED
2023,CA,CITY_OF_SANTA_CLARA_DBA_SILICON_VALLEY_P,City of Santa Clara dba Silicon Valley Power,Palo Alto Networks,3,retail_sales,100.0,53.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_SANTA_CLARA_DBA_SILICON_VALLEY_P,City of Santa Clara dba Silicon Valley Power,Roche Molecular Systems,0,retail_sales,100.0,4.2,0.0,0.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_SANTA_CLARA_DBA_SILICON_VALLEY_P,City of Santa Clara dba Silicon Valley Power,ServiceNow,0,retail_sales,100.0,4.6,0.0,0.0,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CITY_OF_SHASTA_LAKE,City of Shasta Lake,Standard,135,retail_sales,0.3,0.0,0.0,0.3,0.0,0.0,0.0,85.3,0.0,0.0,0.0,14.3,PUBLISHED
2023,CA,CITY_OF_UKIAH_ELECTRIC_UTILITY,City of Ukiah Electric Utility,Standard,485,retail_sales,13.9,0.0,0.7,13.1,0.1,0.0,0.0,33.8,19.3,0.0,0.0,33.0,PUBLISHED
2023,CA,CLEAN_ENERGY_ALLIANCE,Clean Energy Alliance,Clean Impact Plus,215,retail_sales,47.6,0.0,0.0,0.0,26.4,21.3,0.0,29.1,0.0,0.0,0.5,22.8,PUBLISHED
2023,CA,CLEAN_ENERGY_ALLIANCE,Clean Energy Alliance,Clean Impact,511,retail_sales,45.9,0.0,0.0,0.0,0.0,45.9,0.0,0.0,0.0,0.0,0.0,54.1,PUBLISHED
2023,CA,CLEAN_ENERGY_ALLIANCE,Clean Energy Alliance,Green Impact,0,retail_sales,100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CLEAN_POWER_ALLIANCE_OF_SOUTHERN_CALIFOR,Clean Power Alliance of Southern California,100% Green Power,2,retail_sales,100.0,0.0,2.9,2.5,50.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CLEAN_POWER_ALLIANCE_OF_SOUTHERN_CALIFOR,Clean Power Alliance of Southern California,Clean Power,333,retail_sales,50.0,8.1,27.9,0.0,1.0,13.0,0.0,31.5,0.0,0.0,0.0,18.5,PUBLISHED
2023,CA,CLEAN_POWER_ALLIANCE_OF_SOUTHERN_CALIFOR,Clean Power Alliance of Southern California,Lean Power,557,retail_sales,26.1,2.4,0.6,0.0,0.7,22.5,0.0,40.0,0.0,1.6,0.1,32.2,PUBLISHED
2023,CA,CLEAN_POWER_ALLIANCE_OF_SOUTHERN_CALIFOR,Clean Power Alliance of Southern California,Power Share,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CLEANPOWERSF,CleanPowerSF,Green,15,retail_sales,56.5,1.0,18.0,0.8,26.0,10.7,0.0,43.5,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CLEANPOWERSF,CleanPowerSF,SuperGreen,0,retail_sales,100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CLEANPOWERSF,CleanPowerSF,SuperGreen Saver,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,COMMERCIAL_ENERGY_OF_CALIFORNIA,Commercial Energy of California,Standard,311,retail_sales,39.1,1.2,0.3,0.7,27.7,9.3,0.0,9.1,0.0,18.9,0.0,32.8,PUBLISHED
2023,CA,COMMERCIAL_ENERGY_OF_CALIFORNIA,Commercial Energy of California,Renewable,0,retail_sales,100.0,0.0,0.0,0.9,21.5,77.6,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,CONSTELLATION_NEWENERGY_INC,"Constellation NewEnergy, Inc.",Standard,513,retail_sales,49.9,0.8,0.0,0.0,38.9,10.2,0.0,1.4,0.0,2.6,0.0,46.1,PUBLISHED
2023,CA,DESERT_COMMUNITY_ENERGY,Desert Community Energy,DCE Carbon Free,0,retail_sales,64.7,0.0,0.0,0.9,25.7,38.1,0.0,35.3,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,DESERT_COMMUNITY_ENERGY,Desert Community Energy,DCE Desert Saver,424,retail_sales,50.7,0.0,4.0,0.5,14.6,31.7,0.0,5.1,0.0,0.0,0.0,44.2,PUBLISHED
2023,CA,DIRECT_ENERGY_BUSINESS_LLC,"Direct Energy Business, LLC",Standard,489,retail_sales,43.4,1.7,1.4,0.9,28.7,10.7,0.0,0.0,0.0,9.0,0.0,47.6,PUBLISHED
2023,CA,EASTSIDE_POWER_AUTHORITY,Eastside Power Authority,Standard,360,retail_sales,17.7,0.0,0.0,1.5,16.2,0.0,0.0,44.1,0.0,0.0,0.0,38.2,PUBLISHED
2023,CA,ENERGY_FOR_PALMDALES_INDEPENDENT_CHOICE,Energy for Palmdales Independent Choice,EPIC Power,336,retail_sales,35.8,0.0,9.9,0.4,12.5,13.0,0.0,6.9,0.0,26.8,0.0,30.5,PUBLISHED
2023,CA,ENERGY_FOR_PALMDALES_INDEPENDENT_CHOICE,Energy for Palmdales Independent Choice,EPIC Power100,0,retail_sales,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,GLENDALE_WATER_AND_POWER,Glendale Water and Power,Standard,515,retail_sales,35.3,0.0,8.8,1.6,16.8,8.1,1.6,8.8,32.5,11.0,0.0,10.9,PUBLISHED
2023,CA,IMPERIAL_IRRIGATION_DISTRICT,Imperial Irrigation District,Standard,567,retail_sales,37.2,6.2,13.6,5.5,11.9,0.0,0.0,4.8,35.2,3.5,0.0,19.2,PUBLISHED
2023,CA,INDUSTRY_PUBLIC_UTILITIES,Industry Public Utilities,Standard,543,retail_sales,42.5,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,57.5,PUBLISHED
2023,CA,KING_CITY_COMMUNITY_POWER,King City Community Power,Standard,641,retail_sales,32.1,0.0,0.0,0.0,32.1,0.0,0.0,0.0,0.0,0.0,0.0,67.9,PUBLISHED
2023,CA,KIRKWOOD_MEADOWS_PUBLIC_UTILITY_DISTRICT,Kirkwood Meadows Public Utility District,Standard,952,retail_sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,99.2,PUBLISHED
2023,CA,LANCASTER_CHOICE_ENERGY,Lancaster Choice Energy,Clear Choice,559,retail_sales,41.1,0.6,1.8,0.4,15.7,22.6,0.0,0.7,0.0,6.9,0.0,51.3,PUBLISHED
2023,CA,LANCASTER_CHOICE_ENERGY,Lancaster Choice Energy,Smart Choice,554,retail_sales,41.2,0.0,0.0,0.0,20.6,20.6,0.0,0.0,0.0,0.0,0.0,58.8,PUBLISHED
2023,CA,LASSEN_MUNICIPAL_UTILITY_DISTRICT,Lassen Municipal Utility District,Standard,714,retail_sales,13.3,4.2,0.0,0.5,8.6,0.0,0.0,11.5,0.0,0.0,0.0,75.3,PUBLISHED
2023,CA,LATHROP_IRRIGATION_DISTRICT,Lathrop Irrigation District,Standard,735,retail_sales,22.1,0.0,0.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,77.9,PUBLISHED
2023,CA,LIBERTY_UTILITIES_CALPECO_ELECTRIC_LLC,"Liberty Utilities (CalPeco Electric), LLC",Standard,570,retail_sales,39.6,0.0,13.9,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,60.4,PUBLISHED
2023,CA,LODI_ELECTRIC_UTILITY,Lodi Electric Utility,Standard,302,retail_sales,31.2,0.0,13.1,4.8,13.3,0.0,0.0,37.0,26.3,0.0,0.0,5.5,PUBLISHED
2023,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,Los Angeles Department of Water and Power,LADWP Power Mix,499,retail_sales,39.5,0.1,9.5,2.4,14.0,13.5,10.3,3.9,32.4,13.9,0.0,0.0,PUBLISHED
2023,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,Los Angeles Department of Water and Power,Green Power for Green LA,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,MCE,MCE,2023 MCE Light Green Power Mix,4,retail_sales,59.6,2.2,1.0,7.7,33.3,15.3,0.0,40.1,0.0,0.2,0.0,0.1,PUBLISHED
2023,CA,MCE,MCE,2023 MCE Deep Green Power Mix,0,retail_sales,100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,MCE,MCE,2023 MCE Local Sol Power Mix,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,MCE,MCE,2023 MCE Green Access Power Mix,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,MERCED_IRRIGATION_DISTRICT,Merced Irrigation District,Standard,918,retail_sales,0.1,0.0,0.0,0.1,0.0,0.0,0.0,2.6,0.0,0.0,0.0,97.3,PUBLISHED
2023,CA,MODESTO_IRRIGATION_DISTRICT,Modesto Irrigation District,Standard,491,retail_sales,28.9,0.0,0.0,0.5,13.4,15.0,0.0,19.4,13.0,1.2,0.9,36.5,PUBLISHED
2023,CA,ORANGE_COUNTY_POWER_AUTHORITY,Orange County Power Authority,Basic Choice,684,retail_sales,10.1,0.0,0.0,0.0,0.6,9.5,0.0,0.0,0.0,27.5,0.0,62.4,PUBLISHED
2023,CA,ORANGE_COUNTY_POWER_AUTHORITY,Orange County Power Authority,Smart Choice,388,retail_sales,58.0,17.4,9.2,0.0,4.3,27.1,0.0,24.0,0.0,18.0,0.0,0.0,PUBLISHED
2023,CA,ORANGE_COUNTY_POWER_AUTHORITY,Orange County Power Authority,100% Renewable Choice,20,retail_sales,100.0,8.8,17.1,3.9,43.9,26.2,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Pacific Gas and Electric Company,Base Plan,12,retail_sales,32.8,3.4,0.3,2.5,20.2,6.3,0.0,13.8,0.0,53.4,0.0,0.0,PUBLISHED
2023,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Pacific Gas and Electric Company,50% Solar Choice,6,retail_sales,65.5,1.8,0.2,1.3,59.0,3.2,0.0,7.1,0.0,27.4,0.0,0.0,PUBLISHED
2023,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Pacific Gas and Electric Company,100% Solar Choice,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Pacific Gas and Electric Company,Green Saver,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,PACIFICORP,PacifiCorp,Standard (Default) Electricity,1208,retail_sales,20.1,0.1,0.5,1.3,1.6,16.8,35.0,4.1,21.7,0.1,0.1,19.0,PUBLISHED
2023,CA,PACIFICORP,PacifiCorp,BlueSky Portfolio,1208,retail_sales,20.1,0.1,0.5,1.3,1.6,16.8,35.0,4.1,21.7,0.1,0.1,19.0,PUBLISHED
2023,CA,PENINSULA_CLEAN_ENERGY_AUTHORITY,Peninsula Clean Energy Authority,ECOplus,6,retail_sales,51.7,0.0,14.4,1.0,17.1,19.3,0.0,48.3,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,PENINSULA_CLEAN_ENERGY_AUTHORITY,Peninsula Clean Energy Authority,ECO100,0,retail_sales,100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,PENINSULA_CLEAN_ENERGY_AUTHORITY,Peninsula Clean Energy Authority,Green Access,0,retail_sales,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,PICO_RIVERA_INNOVATIVE_MUNICIPAL_ENERGY,Pico Rivera Innovative Municipal Energy,PRIME Power,633,retail_sales,39.2,0.0,0.7,0.1,10.0,28.3,0.0,0.4,0.0,0.0,0.0,60.4,PUBLISHED
2023,CA,PICO_RIVERA_INNOVATIVE_MUNICIPAL_ENERGY,Pico Rivera Innovative Municipal Energy,PRIME Future,472,retail_sales,50.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,PUBLISHED
2023,CA,PILOT_POWER_GROUP_LLC,"Pilot Power Group, LLC",Standard,541,retail_sales,43.5,0.0,9.3,0.0,4.7,29.5,0.0,0.0,0.0,0.0,0.0,56.5,PUBLISHED
2023,CA,PIONEER_COMMUNITY_ENERGY,Pioneer Community Energy,Base Service,346,retail_sales,39.4,2.7,4.5,7.0,13.7,11.5,0.0,4.0,0.0,26.7,0.0,29.8,PUBLISHED
2023,CA,PIONEER_COMMUNITY_ENERGY,Pioneer Community Energy,Green100,0,retail_sales,100.0,0.0,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,PITTSBURG_POWER_COMPANY,Pittsburg Power Company,Standard,492,retail_sales,20.4,0.0,0.0,1.0,19.3,0.0,0.0,25.0,0.0,0.0,2.5,52.1,PUBLISHED
2023,CA,PLUMAS_SIERRA_RURAL_ELECTRIC_COOPERATIVE,Plumas Sierra Rural Electric Cooperative,Standard,479,retail_sales,4.2,0.0,2.7,1.5,0.0,0.0,0.0,43.4,31.9,0.0,0.0,20.5,PUBLISHED
2023,CA,POMONA_CHOICE_ENERGY,Pomona Choice Energy,Pomona Choice,629,retail_sales,40.9,0.0,1.6,0.2,7.3,31.8,0.0,1.4,0.0,0.0,0.0,57.7,PUBLISHED
2023,CA,POMONA_CHOICE_ENERGY,Pomona Choice Energy,Pomona Choice 100,554,retail_sales,41.3,0.0,0.0,0.0,0.0,41.3,0.0,0.0,0.0,0.0,0.0,58.7,PUBLISHED
2023,CA,PORT_OF_OAKLAND,Port of Oakland,Standard,541,retail_sales,23.1,10.0,0.0,2.7,10.4,0.0,0.0,19.8,0.0,0.0,0.0,57.0,PUBLISHED
2023,CA,POWER_WATER_RESOURCES_POOLING_AUTHORITY,Power & Water Resources Pooling Authority,Standard Water Portfolio,45,retail_sales,43.4,0.0,0.0,2.7,40.7,0.0,0.0,51.4,5.2,0.0,0.0,0.0,PUBLISHED
2023,CA,POWER_WATER_RESOURCES_POOLING_AUTHORITY,Power & Water Resources Pooling Authority,Zero Carbon Water Portfolio,0,retail_sales,35.6,0.0,0.0,0.5,35.1,0.0,0.0,64.4,0.0,0.0,0.0,0.0,PUBLISHED
2023,CA,RANCHO_MIRAGE_ENERGY_AUTHORITY,Rancho Mirage Energy Authority,Base Choice,595,retail_sales,43.5,0.0,0.4,0.3,12.9,29.9,0.0,0.5,0.0,0.0,0.0,56.0,PUBLISHED
