# Generated by supplier_candidates.py — EPA wires crosswalk + GeoNames +
# hand-curated 2023 CCA territories. County-grain CCA coverage over-offers in
# partially-covered counties; the supplier picker in the UI is the correction.
# is_default: TRUE = supplier a customer has with no action (CCA in CCA land).
zip,state,supplier_id,default_product,is_default,enrollment_share,notes,data_quality
90008,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90009,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90010,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90011,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90011,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90012,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90013,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90014,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90015,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90016,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90017,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90018,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90019,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90020,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90021,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90022,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90023,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90023,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90024,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90025,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90026,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90027,CA,BURBANK_WATER_AND_POWER,Standard,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90027,CA,GLENDALE_WATER_AND_POWER,Standard,FALSE,1.0,municipal/co-op,CURATED_APPROXIMATE
90027,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,FALSE,1.0,municipal/co-op,CURATED_APPROXIMATE
90028,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90029,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90030,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90031,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90032,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90032,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90033,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90033,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90034,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90035,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90036,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90037,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90038,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90039,CA,GLENDALE_WATER_AND_POWER,Standard,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90039,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,FALSE,1.0,municipal/co-op,CURATED_APPROXIMATE
90040,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90041,CA,GLENDALE_WATER_AND_POWER,Standard,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90041,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,FALSE,1.0,municipal/co-op,CURATED_APPROXIMATE
90041,CA,CITY_OF_PASADENA,PWP Power Mix,FALSE,1.0,municipal/co-op,CURATED_APPROXIMATE
90042,CA,CITY_OF_PASADENA,PWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90042,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,FALSE,1.0,municipal/co-op,CURATED_APPROXIMATE
90042,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90043,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90043,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90044,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90044,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90045,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90045,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90046,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90047,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90047,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90048,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90049,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90050,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90051,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
90052,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90053,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90054,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90055,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90056,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90056,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90057,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90058,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90058,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90059,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90059,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90060,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90061,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90061,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
90062,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90063,CA,LOS_ANGELES_DEPARTMENT_OF_WATER_AND_POWE,LADWP Power Mix,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
90063,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
